ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season
6,448,1,0,1,0,0.0,0,2,1
7,448,1,0,1,0,0.0,0,2,1
11,1212,0,1,1,0,0.0,0,3,0
18,2401,1,0,1,0,0.0,0,1,1
36,257,1,1,3,30,24.0,0,2,0
52,411,1,1,3,30,31.0,0,2,0
60,448,1,1,3,10,30.0,0,2,1
61,448,1,1,3,30,30.0,0,3,1
66,448,1,0,3,45,31.0,0,2,0
81,531,1,1,3,20,32.0,0,1,0
127,789,1,0,3,20,36.0,0,2,1
135,851,1,0,3,30,40.0,0,1,0
136,850,1,0,3,50,39.0,0,2,0
156,1056,1,1,3,40,40.0,0,2,1
161,1056,1,0,3,50,42.0,0,2,0
164,1056,1,0,3,50,42.0,0,2,1
170,1132,1,1,3,5,40.0,0,2,0
194,1212,1,1,3,40,42.0,0,3,1
205,1212,1,0,3,15,40.0,0,2,1
206,1212,1,0,3,20,40.0,0,1,1
207,1212,1,0,3,20,40.0,0,2,1
212,1296,1,1,3,10,45.0,0,2,1
216,1296,1,0,3,40,40.0,0,2,0
251,1576,1,1,3,30,50.0,0,2,0
252,1576,1,1,3,50,50.0,0,2,0
271,1678,1,0,3,50,48.0,0,2,1
283,1785,1,0,3,20,50.0,0,2,1
284,1785,1,0,3,20,50.0,0,1,1
299,2015,1,1,3,20,50.0,0,3,0
300,2015,1,1,3,50,50.0,0,2,0
302,2016,1,1,3,30,50.0,0,2,1
314,2139,1,1,3,40,52.0,0,1,0
327,2267,1,0,3,15,53.0,0,1,0
330,2401,1,1,3,15,54.0,0,2,0
342,2541,1,1,3,15,55.0,0,1,0
354,2687,1,0,3,30,52.0,0,3,1
368,2999,1,0,3,10,66.0,0,3,1
372,3165,1,1,3,5,60.0,0,3,1
410,283,0,0,3,10,23.0,0,2,0
429,375,0,1,3,15,24.0,0,2,0
442,448,0,1,3,10,26.0,0,2,0
447,448,0,0,3,50,29.0,0,3,0
455,488,0,0,3,25,31.0,0,2,0
466,577,0,1,3,40,30.0,0,3,1
468,577,0,0,3,5,6.0,0,2,0
469,577,0,0,3,20,33.0,0,2,0
473,625,0,0,3,40,35.0,0,1,0
504,851,0,1,3,20,38.0,0,3,0
512,915,0,1,3,5,30.0,0,2,0
516,915,0,1,3,20,38.0,0,2,1
527,984,0,1,3,35,40.0,0,1,0
540,1056,0,0,3,15,39.0,0,2,0
562,1212,0,0,3,60,38.0,0,2,0
565,1296,0,1,3,5,20.0,0,1,0
567,1296,0,1,3,30,44.0,0,3,0
581,1385,0,1,3,30,40.0,0,2,0
584,1385,0,0,3,5,40.0,0,1,0
596,1478,0,1,3,20,40.0,0,1,2
597,1478,0,0,3,5,40.0,0,1,0
600,1478,0,0,3,30,46.0,0,2,0
606,1576,0,0,3,15,48.0,0,2,0
619,1785,0,1,3,10,45.0,0,2,0
630,1785,0,0,3,40,49.0,0,3,0
679,2542,0,0,3,30,50.0,0,3,0
684,2688,0,1,3,5,20.0,0,2,1
689,2999,0,1,3,20,57.0,0,1,1
699,3337,0,0,3,40,50.0,0,2,0
707,4096,0,0,3,15,63.0,0,1,1
708,169,1,1,2,30,22.0,1,2,0
709,232,1,1,2,20,14.0,9,2,0
716,342,1,1,2,20,20.0,3,2,0
743,448,1,1,2,30,15.0,14,2,0
767,531,1,1,2,20,20.0,12,1,0
778,577,1,1,2,20,12.0,17,1,0
781,577,1,1,2,20,33.0,2,2,0
788,577,1,1,2,40,25.0,7,1,0
790,577,1,1,2,40,30.0,2,2,0
793,577,1,1,2,60,29.0,2,1,0
800,625,1,1,2,30,20.0,15,3,0
803,625,1,1,2,40,20.0,12,2,0
807,625,1,1,2,60,25.0,10,3,0
816,677,1,1,2,30,24.0,8,2,0
818,677,1,1,2,30,28.0,7,1,0
833,731,1,1,2,25,22.0,15,2,0
843,789,1,1,2,15,20.0,13,1,0
873,851,1,1,2,15,25.0,14,2,1
878,915,1,1,2,15,40.0,0,3,0
900,984,1,1,2,20,40.0,2,2,0
909,984,1,1,2,60,20.0,19,1,0
932,1056,1,1,2,25,25.0,14,2,0
937,1056,1,1,2,40,25.0,15,2,0
941,1056,1,1,2,60,40.0,0,1,0
945,1056,1,1,2,40,40.0,2,1,2
946,1132,1,1,2,40,25.0,15,2,0
951,1132,1,1,2,15,20.0,18,2,0
974,1132,1,1,2,40,41.0,1,2,0
981,1132,1,1,2,30,30.0,9,2,2
986,1212,1,1,2,10,30.0,12,3,0
990,1212,1,1,2,20,22.0,19,3,0
993,1212,1,1,2,30,11.0,27,2,0
998,1212,1,1,2,60,38.0,6,2,0
1021,1385,1,1,2,5,34.0,10,1,0
1039,1385,1,1,2,30,30.0,13,2,0
1043,1385,1,1,2,40,31.0,13,1,0
1049,1385,1,1,2,45,40.0,6,2,1
1061,1478,1,1,2,20,40.0,4,3,0
1068,1478,1,1,2,30,40.0,4,2,2
1069,1575,1,1,2,10,10.0,31,2,0
1081,1576,1,1,2,40,45.0,3,2,0
1084,1576,1,1,2,30,32.0,16,3,1
1087,1678,1,1,2,20,36.0,12,2,0
1092,1678,1,1,2,30,50.0,1,2,0
1106,1785,1,1,2,10,40.0,7,2,0
1107,1786,1,1,2,10,20.0,22,2,0
1113,1785,1,1,2,20,38.0,10,3,0
1122,1786,1,1,2,30,44.0,4,1,0
1148,1898,1,1,2,40,45.0,6,2,0
1151,1898,1,1,2,40,45.0,4,2,0
1157,2016,1,1,2,10,20.0,30,1,0
1171,2015,1,1,2,30,50.0,0,3,0
1183,2138,1,1,2,10,25.0,26,2,0
1212,2267,1,1,2,20,38.0,15,2,0
1220,2267,1,1,2,20,40.0,7,2,0
1225,2267,1,1,2,30,36.0,18,2,0
1227,2267,1,1,2,40,20.0,30,1,0
1228,2267,1,1,2,40,45.0,9,1,0
1231,2267,1,1,2,30,32.0,19,3,1
1238,2401,1,1,2,20,20.0,31,2,0
1266,2542,1,1,2,35,17.0,37,3,1
1274,2687,1,1,2,35,20.0,33,1,0
1275,2688,1,1,2,40,25.0,31,3,0
1286,2840,1,1,2,40,59.0,0,2,0
1291,2999,1,1,2,5,29.0,24,2,0
1311,3337,1,1,2,20,38.0,24,1,0
1320,3516,1,1,2,20,39.0,26,1,0
1345,3895,1,1,2,40,49.0,12,1,0
1361,232,1,0,2,5,15.0,4,1,0
1367,232,1,0,2,15,12.0,8,2,1
1392,375,1,0,2,25,20.0,4,2,0
1393,410,1,0,2,30,20.0,6,1,0
1394,411,1,0,2,10,12.0,15,1,0
1395,411,1,0,2,10,20.0,1,3,0
1401,410,1,0,2,30,22.0,3,2,0
