ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season,Crop_status
1,188,1,0,1,0,0.0,0,1,0
2,209,1,0,1,0,0.0,0,2,1
3,257,1,0,1,0,0.0,0,2,1
4,257,0,0,1,0,0.0,0,2,1
5,342,1,0,1,0,0.0,0,2,1
8,577,1,0,1,0,0.0,0,1,2
9,731,1,1,1,0,0.0,0,2,0
10,1132,1,0,1,0,0.0,0,1,2
12,1575,1,1,1,0,0.0,0,1,1
13,1575,0,1,1,0,0.0,0,2,1
14,1575,0,0,1,0,0.0,0,2,1
15,1575,0,0,1,0,0.0,0,2,2
16,1785,0,0,1,0,0.0,0,2,1
17,2138,0,1,1,0,0.0,0,1,1
19,2401,0,0,1,0,0.0,0,2,1
20,2401,0,0,1,0,0.0,0,2,1
21,2999,0,1,1,0,0.0,0,3,1
22,3516,1,0,1,0,0.0,0,2,0
23,3895,0,0,1,0,0.0,0,1,1
24,4096,0,0,1,0,0.0,0,2,1
25,150,1,1,3,30,26.0,0,2,0
26,151,1,1,3,40,20.0,0,1,0
27,150,1,1,3,60,15.0,0,2,0
28,168,0,1,3,20,14.0,0,2,0
29,168,0,1,3,20,15.0,0,2,1
30,188,1,1,3,25,19.0,0,1,0
31,188,0,1,3,40,24.0,0,3,0
32,209,0,1,3,20,8.0,0,3,0
33,232,1,1,3,45,23.0,0,2,0
34,231,0,1,3,30,25.0,0,2,0
35,256,1,1,3,20,28.0,0,3,0
37,256,1,1,3,40,29.0,0,1,0
38,283,1,1,3,25,22.0,0,1,0
39,283,1,1,3,50,24.0,0,2,0
40,283,0,1,3,15,24.0,0,3,0
41,283,0,1,3,45,20.0,0,1,0
42,312,1,1,3,10,20.0,0,3,0
43,311,1,1,3,20,25.0,0,1,0
44,312,0,1,3,15,21.0,0,2,0
45,312,0,1,3,15,24.0,0,2,0
46,342,1,1,3,60,28.0,0,2,0
47,342,0,1,3,40,17.0,0,3,0
48,375,1,1,3,50,30.0,0,2,0
49,375,0,1,3,5,22.0,0,1,0
50,375,0,1,3,20,23.0,0,2,0
51,375,0,1,3,10,25.0,0,3,1
